Title,Title_URL,Image,Likes,likes,comment,collect,share
只有最纯正的黑色，才是黑陶的灵魂，老人制陶40年才整明白 #非遗传承 #纪录片解说 #黑陶 #老手艺 ,https://www.douyin.com/video/7366915582647684406,https://p3-pc-sign.douyinpic.com/tos-cn-i-pk90l89vgd/602c12a9966b4a6b92dbbf698466461d~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032959600&x-signature=MHXk2ZJpmSAMdLuqpJqub5wnmJU%3D,928,976,13,170,39
小哥的手常年保持中毒般的蓝紫色，竟是为了这一缸纯粹的靛蓝 #非遗传承 #蓝染 #记录片解说 #老手艺 ,https://www.douyin.com/video/7366537625689279756,https://p3-pc-sign.douyinpic.com/tos-cn-i-pk90l89vgd/8580ce7e284e4388951bd496d1cb631d~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032959600&x-signature=XbHAkpq0zB%2FY1mP8YTFCX2YMyxI%3D,1191,1205,21,193,38
树干上被砍出千疮百孔，经过上千年的沉淀，浑身散发着金钱的味道 #非遗传承 #沉香 #纪录片解说 #传统技艺 ,https://www.douyin.com/video/7366166481656237348,https://p3-pc-sign.douyinpic.com/tos-cn-i-pk90l89vgd/6fa8109048b0407b8f553f3a0956ee19~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032959600&x-signature=h%2BFzXep9Xd%2BR2Wo1cXgDiYgm6ec%3D,4112,4167,77,501,143
老人试验上千次，只为用中药当土壤，种出一朵洁白莹润的本草银耳 #非遗传承 #银耳 #纪录片解说 #老手艺 ,https://www.douyin.com/video/7365445789478325523,https://p3-pc-sign.douyinpic.com/tos-cn-i-pk90l89vgd/6dde24ea4cb54411b57b70c8663ee11d~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032959600&x-signature=Ilg20Z1mL9ykH5plX3mRGVUS2PE%3D,1.4万,14000,310,1098,520
牛皮胶水不是吹牛皮，而是真的牛皮，有亿点点好用！ #非遗传承 #纪录片解说 #古法胶水 #老手艺 #牛皮 ,https://www.douyin.com/video/7364682209061604671,https://p3-pc-sign.douyinpic.com/tos-cn-i-pk90l89vgd/048851682e374484b6aa10388227c1fb~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032959600&x-signature=Dgprhz6uNZ%2FvB4DdgvEa7aN7tVE%3D,3040,3060,94,525,110
最善用色彩的藏羌织绣，看起来像油画一样高级，难点却在藏线头 #非遗传承 #藏羌织绣 #老手艺 #纪录片解说 ,https://www.douyin.com/video/7363949740943281420,https://p3-pc-sign.douyinpic.com/tos-cn-i-pk90l89vgd/2545ba374835409b9fe9da4fc935bb10~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032959600&x-signature=dU3CAtIw9BzyfmJorkoZegLGqLY%3D,696,700,8,111,35
将白布扎起来染色，展开后太过惊艳，不确定性才是扎染的最大魅力 #非遗传承 #扎染 #纪录片解说 #传统技艺 ,https://www.douyin.com/video/7363199848926956838,https://p3-pc-sign.douyinpic.com/tos-cn-i-pk90l89vgd/e013631914dd435fb49448501ee28435~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032959600&x-signature=INijOleIMt73dNx3JHG79Rpykgc%3D,556,558,7,102,49
冬捞寒冰夏晒三伏，才能成就完美的醋花，酸只是古法酿醋的表象 #非遗传承 #古法酿醋 #纪录片解说 #老手艺 ,https://www.douyin.com/video/7361714814248439078,https://p9-pc-sign.douyinpic.com/tos-cn-i-pk90l89vgd/287ccfdae20d4d929b8e1fdf7059611f~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032959600&x-signature=wIBzF8zaPpWEprHMmKscKaI8RLc%3D,1450,1451,33,275,85
煤渣与观音土竟是绝妙的搭档，在烧窑中更助火势，千年不变黑砂器 #非遗传承 #纪录片解说 #荥经砂器 #老手艺 ,https://www.douyin.com/video/7361342474050112804,https://p3-pc-sign.douyinpic.com/tos-cn-i-pk90l89vgd/75aaa7817d684e549183896472836248~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032959600&x-signature=ARpYp4JSYq2F%2FG%2FUTlivcsxyeO4%3D,551,553,12,105,24
纺织界的活化石，号称千年不烂软黄金，看着粗糙不堪却异常柔软 #非遗传承 #夏布 #纪录片解说 #传统技艺 ,https://www.douyin.com/video/7360970906828574003,https://p3-pc-sign.douyinpic.com/tos-cn-i-pk90l89vgd/cbc3e6f09cd14c44b552386b9440c005~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032959600&x-signature=a6z%2B%2FipZ%2F046eyfgdTYESnhum%2FQ%3D,747,748,10,139,28
