Title,Title_URL,Image,Likes,likes,comment,collect,share
为了这株小草，老人足足等了7年时间，终于苦尽甘来！ #传统手艺 #黄连 #纪录片解说 #涨知识,https://www.douyin.com/video/7367644992149523763,https://p3-pc-sign.douyinpic.com/tos-cn-i-dy/703e295b2d4f4e7cad679bb6754e8a82~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032959600&x-signature=%2F9QALDkJFtoDH0xRmmf6Gd%2FXhlg%3D,2.4万,25000,687,2137,1095
历经九天九夜熬煮外加99道工序，才能得到这么一块胶中极品！#非遗传承 #九朝贡胶 #传统手艺 #纪录片解说 ,https://www.douyin.com/video/7366936697180785970,https://p3-pc-sign.douyinpic.com/tos-cn-i-pk90l89vgd/34dea5f0051f41c8aa9058e91db96671~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032959600&x-signature=hDaGL9cxKhTYIdytZ8u7RbKnbzc%3D,416,424,16,113,25
古法酿醋—冬捞冰夏晒伏，耗时大半年才能得到这口醋花绵密的味道！#非遗传承 #酿醋 #传统手艺 #涨知识 ,https://www.douyin.com/video/7366216694248885516,https://p3-pc-sign.douyinpic.com/tos-cn-i-pk90l89vgd/c665f88b2d864179bc7d43bb3a4f5e11~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032959600&x-signature=QeMZAz7jz1Nt%2BvgLlmbNrrhh%2B0Y%3D,1368,1390,19,440,100
令人谈之色变的生漆，怒江人却用漆树的果实榨油，还奉为人间美味#传统手艺 #漆油 #纪录片解说 #漆油鸡 ,https://www.douyin.com/video/7363589164878581030,https://p3-pc-sign.douyinpic.com/tos-cn-i-pk90l89vgd/bad37336f83f463192aa9b41b220f0f0~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032959600&x-signature=XbN37dzAWrsKrVRCJBL%2B6muRhUY%3D,3499,3514,732,532,437
藏传古老手艺—药泥面具，配对了飘香扑鼻，错了就会奇臭无比！#非遗传承 #药泥面具 #藏药 #手艺人 #纪录片 ,https://www.douyin.com/video/7361743051980655910,https://p3-pc-sign.douyinpic.com/tos-cn-i-pk90l89vgd/6d48fa90cec0429a9afef8a440c09f0a~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032959600&x-signature=ic3iGL3mIt3m0T8ineLsV%2BqI02g%3D,1.1万,11000,167,715,549
老人耗费4年心血，将两版《清明上河图》刻画于12米的巨木上面#非遗传承 #莆田木雕 #清明上河图 #大国工匠 ,https://www.douyin.com/video/7360292853395754252,https://p3-pc-sign.douyinpic.com/tos-cn-i-pk90l89vgd/86011f1920cd48f4a0c5206c77bd9ddf~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032959600&x-signature=8SCSm2MtBey8BlWZjcmcFCE03ag%3D,727,746,26,144,47
老人在制作人生最后一批红曲，一个星期过后这门老手艺就要失传了#传统手艺 #红曲 #纪录片 #涨知识 ,https://www.douyin.com/video/7359161870705528075,https://p3-pc-sign.douyinpic.com/tos-cn-i-pk90l89vgd/1fcadf9b21df4f3d8c8831dddf799337~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032959600&x-signature=IrtS91F5Sk%2FgX2BOgnv2cH5%2BZl4%3D,457,463,20,93,20
老药工以水火共用的古法炮制，将毒药变成了一味救人医病的良药！#非遗传承 #附子 #中药炮制 #纪录片解说 ,https://www.douyin.com/video/7358437728557485322,https://p3-pc-sign.douyinpic.com/tos-cn-i-pk90l89vgd/a602baf5531445d39097b1d8cecd7dbb~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032959600&x-signature=4jafCuRM40R7jT7akS8r8NSgTMo%3D,9878,10000,902,1672,566
没人要的破竹根居然被老人化腐朽为神奇，成为你高攀不起的样子#非遗传承 #竹根雕 #手艺人 #纪录片解说 ,https://www.douyin.com/video/7357294005115194660,https://p3-pc-sign.douyinpic.com/tos-cn-i-pk90l89vgd/a9e10cb2054a4e0f885a356ea9726ab9~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032959600&x-signature=xDtKt8dRWqwzp9EG38BW0tdxRB8%3D,382,388,12,73,18
原来被誉为“软黄金”的香云纱，居然是一滩烂泥的杰作！#非遗传承 #香云纱 #丝绸 #传统手艺 #纪录片解说 ,https://www.douyin.com/video/7356565778939923750,https://p3-pc-sign.douyinpic.com/tos-cn-i-pk90l89vgd/6de4854856be4d2b9930eae86bbe1dbf~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032959600&x-signature=%2FVqLue%2F8tSiztk0aGN7autTGcDY%3D,8203,8418,623,1516,1352
